State,AccidentMonth,EffectiveDate,OlfType,Olf,OlfVersion
AK,1/1/1900,1/1/2021,,1,
AK,1/1/2010,1/1/2021,,1,
AK,2/1/2010,1/1/2021,,1,
AK,3/1/2010,1/1/2021,,1,
AK,4/1/2010,1/1/2021,,1,
AK,5/1/2010,1/1/2021,,1,
AK,6/1/2010,1/1/2021,,1,
AK,7/1/2010,1/1/2021,,1,
AK,8/1/2010,1/1/2021,,1,
AK,9/1/2010,1/1/2021,,1,
AK,10/1/2010,1/1/2021,,1,
AK,11/1/2010,1/1/2021,,1,
AK,12/1/2010,1/1/2021,,1,
AK,1/1/2011,1/1/2021,,1,
AK,2/1/2011,1/1/2021,,1,
AK,3/1/2011,1/1/2021,,1,
AK,4/1/2011,1/1/2021,,1,
AK,5/1/2011,1/1/2021,,1,
AK,6/1/2011,1/1/2021,,1,
AK,7/1/2011,1/1/2021,,1,
AK,8/1/2011,1/1/2021,,1,
AK,9/1/2011,1/1/2021,,1,
AK,10/1/2011,1/1/2021,,1,
AK,11/1/2011,1/1/2021,,1,
AK,12/1/2011,1/1/2021,,1,
AK,1/1/2012,1/1/2021,,1,
AK,2/1/2012,1/1/2021,,1,
AK,3/1/2012,1/1/2021,,1,
AK,4/1/2012,1/1/2021,,1,
AK,5/1/2012,1/1/2021,,1,
AK,6/1/2012,1/1/2021,,1,
AK,7/1/2012,1/1/2021,,1,
AK,8/1/2012,1/1/2021,,1,
AK,9/1/2012,1/1/2021,,1,
AK,10/1/2012,1/1/2021,,1,
AK,11/1/2012,1/1/2021,,1,
AK,12/1/2012,1/1/2021,,1,
AK,1/1/2013,1/1/2021,,1,
AK,2/1/2013,1/1/2021,,1,
AK,3/1/2013,1/1/2021,,1,
AK,4/1/2013,1/1/2021,,1,
AK,5/1/2013,1/1/2021,,1,
AK,6/1/2013,1/1/2021,,1,
AK,7/1/2013,1/1/2021,,1,
AK,8/1/2013,1/1/2021,,1,
AK,9/1/2013,1/1/2021,,1,
AK,10/1/2013,1/1/2021,,1,
AK,11/1/2013,1/1/2021,,1,
AK,12/1/2013,1/1/2021,,1,
AK,1/1/2014,1/1/2021,,1,
AK,2/1/2014,1/1/2021,,1,
AK,3/1/2014,1/1/2021,,1,
AK,4/1/2014,1/1/2021,,1,
AK,5/1/2014,1/1/2021,,1,
AK,6/1/2014,1/1/2021,,1,
AK,7/1/2014,1/1/2021,,1,
AK,8/1/2014,1/1/2021,,1,
AK,9/1/2014,1/1/2021,,1,
AK,10/1/2014,1/1/2021,,1,
AK,11/1/2014,1/1/2021,,1,
AK,12/1/2014,1/1/2021,,1,
AK,1/1/2015,1/1/2021,,1,
AK,2/1/2015,1/1/2021,,1,
AK,3/1/2015,1/1/2021,,1,
AK,4/1/2015,1/1/2021,,1,
AK,5/1/2015,1/1/2021,,1,
AK,6/1/2015,1/1/2021,,1,
AK,7/1/2015,1/1/2021,,1,
AK,8/1/2015,1/1/2021,,1,
AK,9/1/2015,1/1/2021,,1,
AK,10/1/2015,1/1/2021,,1,
AK,11/1/2015,1/1/2021,,1,
AK,12/1/2015,1/1/2021,,1,
AK,1/1/2016,1/1/2021,,1,
AK,2/1/2016,1/1/2021,,1,
AK,3/1/2016,1/1/2021,,1,
AK,4/1/2016,1/1/2021,,1,
AK,5/1/2016,1/1/2021,,1,
AK,6/1/2016,1/1/2021,,1,
AK,7/1/2016,1/1/2021,,1,
AK,8/1/2016,1/1/2021,,1,
AK,9/1/2016,1/1/2021,,1,
AK,10/1/2016,1/1/2021,,1,
AK,11/1/2016,1/1/2021,,1,
AK,12/1/2016,1/1/2021,,1,
AK,1/1/2017,1/1/2021,,1,
AK,2/1/2017,1/1/2021,,1,
AK,3/1/2017,1/1/2021,,1,
AK,4/1/2017,1/1/2021,,1,
AK,5/1/2017,1/1/2021,,1,
AK,6/1/2017,1/1/2021,,1,
AK,7/1/2017,1/1/2021,,1,
AK,8/1/2017,1/1/2021,,1,
AK,9/1/2017,1/1/2021,,1,
AK,10/1/2017,1/1/2021,,1,
AK,11/1/2017,1/1/2021,,1,
AK,12/1/2017,1/1/2021,,1,
AK,1/1/2018,1/1/2021,,1,
AK,2/1/2018,1/1/2021,,1,
AK,3/1/2018,1/1/2021,,1,
AK,4/1/2018,1/1/2021,,1,
AK,5/1/2018,1/1/2021,,1,
AK,6/1/2018,1/1/2021,,1,
AK,7/1/2018,1/1/2021,,1,
AK,8/1/2018,1/1/2021,,1,
AK,9/1/2018,1/1/2021,,1,
AK,10/1/2018,1/1/2021,,1,
AK,11/1/2018,1/1/2021,,1,
AK,12/1/2018,1/1/2021,,1,
AK,1/1/2019,1/1/2021,,1,
AK,2/1/2019,1/1/2021,,1,
AK,3/1/2019,1/1/2021,,1,
AK,4/1/2019,1/1/2021,,1,
AK,5/1/2019,1/1/2021,,1,
AK,6/1/2019,1/1/2021,,1,
AK,7/1/2019,1/1/2021,,1,
AK,8/1/2019,1/1/2021,,1,
AK,9/1/2019,1/1/2021,,1,
AK,10/1/2019,1/1/2021,,1,
AK,11/1/2019,1/1/2021,,1,
AK,12/1/2019,1/1/2021,,1,
AK,1/1/2020,1/1/2021,,1,
AK,2/1/2020,1/1/2021,,1,
AK,3/1/2020,1/1/2021,,1,
AK,4/1/2020,1/1/2021,,1,
AK,5/1/2020,1/1/2021,,1,
AK,6/1/2020,1/1/2021,,1,
AK,7/1/2020,1/1/2021,,1,
AK,8/1/2020,1/1/2021,,1,
AK,9/1/2020,1/1/2021,,1,
AK,10/1/2020,1/1/2021,,1,
AK,11/1/2020,1/1/2021,,1,
AK,12/1/2020,1/1/2021,,1,
AK,1/1/2021,1/1/2021,,1,
AK,2/1/2021,1/1/2021,,1,
AK,3/1/2021,1/1/2021,,1,
AK,4/1/2021,1/1/2021,,1,
AK,5/1/2021,1/1/2021,,1,
AK,6/1/2021,1/1/2021,,1,
AK,7/1/2021,1/1/2021,,1,
AK,8/1/2021,1/1/2021,,1,
AK,9/1/2021,1/1/2021,,1,
AK,10/1/2021,1/1/2021,,1,
AK,11/1/2021,1/1/2021,,1,
AK,12/1/2021,1/1/2021,,1,
AK,1/1/2022,1/1/2021,,1,
AK,2/1/2022,1/1/2021,,1,
AK,3/1/2022,1/1/2021,,1,
AK,4/1/2022,1/1/2021,,1,
AK,5/1/2022,1/1/2021,,1,
AK,6/1/2022,1/1/2021,,1,
AK,7/1/2022,1/1/2021,,1,
AK,8/1/2022,1/1/2021,,1,
AK,9/1/2022,1/1/2021,,1,
AK,10/1/2022,1/1/2021,,1,
AK,11/1/2022,1/1/2021,,1,
AK,12/1/2022,1/1/2021,,1,
AL,1/1/1900,1/1/2021,,1,
AL,1/1/2010,1/1/2021,,1,
AL,2/1/2010,1/1/2021,,1,
AL,3/1/2010,1/1/2021,,1,
AL,4/1/2010,1/1/2021,,1,
AL,5/1/2010,1/1/2021,,1,
AL,6/1/2010,1/1/2021,,1,
AL,7/1/2010,1/1/2021,,1,
AL,8/1/2010,1/1/2021,,1,
AL,9/1/2010,1/1/2021,,1,
AL,10/1/2010,1/1/2021,,1,
AL,11/1/2010,1/1/2021,,1,
AL,12/1/2010,1/1/2021,,1,
AL,1/1/2011,1/1/2021,,1,
AL,2/1/2011,1/1/2021,,1,
AL,3/1/2011,1/1/2021,,1,
AL,4/1/2011,1/1/2021,,1,
AL,5/1/2011,1/1/2021,,1,
AL,6/1/2011,1/1/2021,,1,
AL,7/1/2011,1/1/2021,,1,
AL,8/1/2011,1/1/2021,,1,
AL,9/1/2011,1/1/2021,,1,
AL,10/1/2011,1/1/2021,,1,
AL,11/1/2011,1/1/2021,,1,
AL,12/1/2011,1/1/2021,,1,
AL,1/1/2012,1/1/2021,,1,
AL,2/1/2012,1/1/2021,,1,
AL,3/1/2012,1/1/2021,,1,
AL,4/1/2012,1/1/2021,,1,
AL,5/1/2012,1/1/2021,,1,
AL,6/1/2012,1/1/2021,,1,
AL,7/1/2012,1/1/2021,,1,
AL,8/1/2012,1/1/2021,,1,
AL,9/1/2012,1/1/2021,,1,
AL,10/1/2012,1/1/2021,,1,
AL,11/1/2012,1/1/2021,,1,
AL,12/1/2012,1/1/2021,,1,
AL,1/1/2013,1/1/2021,,1,
AL,2/1/2013,1/1/2021,,1,
AL,3/1/2013,1/1/2021,,1,
AL,4/1/2013,1/1/2021,,1,
AL,5/1/2013,1/1/2021,,1,
AL,6/1/2013,1/1/2021,,1,
AL,7/1/2013,1/1/2021,,1,
AL,8/1/2013,1/1/2021,,1,
AL,9/1/2013,1/1/2021,,1,
AL,10/1/2013,1/1/2021,,1,
AL,11/1/2013,1/1/2021,,1,
AL,12/1/2013,1/1/2021,,1,
AL,1/1/2014,1/1/2021,,1,
AL,2/1/2014,1/1/2021,,1,
AL,3/1/2014,1/1/2021,,1,
AL,4/1/2014,1/1/2021,,1,
AL,5/1/2014,1/1/2021,,1,
AL,6/1/2014,1/1/2021,,1,
AL,7/1/2014,1/1/2021,,1,
AL,8/1/2014,1/1/2021,,1,
AL,9/1/2014,1/1/2021,,1,
AL,10/1/2014,1/1/2021,,1,
AL,11/1/2014,1/1/2021,,1,
AL,12/1/2014,1/1/2021,,1,
AL,1/1/2015,1/1/2021,,1,
AL,2/1/2015,1/1/2021,,1,
AL,3/1/2015,1/1/2021,,1,
AL,4/1/2015,1/1/2021,,1,
AL,5/1/2015,1/1/2021,,1,
AL,6/1/2015,1/1/2021,,1,
AL,7/1/2015,1/1/2021,,1,
AL,8/1/2015,1/1/2021,,1,
AL,9/1/2015,1/1/2021,,1,
AL,10/1/2015,1/1/2021,,1,
AL,11/1/2015,1/1/2021,,1,
AL,12/1/2015,1/1/2021,,1,
AL,1/1/2016,1/1/2021,,1,
AL,2/1/2016,1/1/2021,,1,
AL,3/1/2016,1/1/2021,,1,
AL,4/1/2016,1/1/2021,,1,
AL,5/1/2016,1/1/2021,,1,
AL,6/1/2016,1/1/2021,,1,
AL,7/1/2016,1/1/2021,,1,
AL,8/1/2016,1/1/2021,,1,
AL,9/1/2016,1/1/2021,,1,
AL,10/1/2016,1/1/2021,,1,
AL,11/1/2016,1/1/2021,,1,
AL,12/1/2016,1/1/2021,,1,
AL,1/1/2017,1/1/2021,,1,
AL,2/1/2017,1/1/2021,,1,
AL,3/1/2017,1/1/2021,,1,
AL,4/1/2017,1/1/2021,,1,
AL,5/1/2017,1/1/2021,,1,
AL,6/1/2017,1/1/2021,,1,
AL,7/1/2017,1/1/2021,,1,
AL,8/1/2017,1/1/2021,,1,
AL,9/1/2017,1/1/2021,,1,
AL,10/1/2017,1/1/2021,,1,
AL,11/1/2017,1/1/2021,,1,
AL,12/1/2017,1/1/2021,,1,
AL,1/1/2018,1/1/2021,,1,
AL,2/1/2018,1/1/2021,,1,
AL,3/1/2018,1/1/2021,,1,
AL,4/1/2018,1/1/2021,,1,
AL,5/1/2018,1/1/2021,,1,
AL,6/1/2018,1/1/2021,,1,
AL,7/1/2018,1/1/2021,,1,
AL,8/1/2018,1/1/2021,,1,
AL,9/1/2018,1/1/2021,,1,
AL,10/1/2018,1/1/2021,,1,
AL,11/1/2018,1/1/2021,,1,
AL,12/1/2018,1/1/2021,,1,
AL,1/1/2019,1/1/2021,,1,
AL,2/1/2019,1/1/2021,,1,
AL,3/1/2019,1/1/2021,,1,
AL,4/1/2019,1/1/2021,,1,
AL,5/1/2019,1/1/2021,,1,
AL,6/1/2019,1/1/2021,,1,
AL,7/1/2019,1/1/2021,,1,
AL,8/1/2019,1/1/2021,,1,
AL,9/1/2019,1/1/2021,,1,
AL,10/1/2019,1/1/2021,,1,
AL,11/1/2019,1/1/2021,,1,
AL,12/1/2019,1/1/2021,,1,
AL,1/1/2020,1/1/2021,,1,
AL,2/1/2020,1/1/2021,,1,
AL,3/1/2020,1/1/2021,,1,
AL,4/1/2020,1/1/2021,,1,
AL,5/1/2020,1/1/2021,,1,
AL,6/1/2020,1/1/2021,,1,
AL,7/1/2020,1/1/2021,,1,
AL,8/1/2020,1/1/2021,,1,
AL,9/1/2020,1/1/2021,,1,
AL,10/1/2020,1/1/2021,,1,
AL,11/1/2020,1/1/2021,,1,
AL,12/1/2020,1/1/2021,,1,
AL,1/1/2021,1/1/2021,,1,
AL,2/1/2021,1/1/2021,,1,
AL,3/1/2021,1/1/2021,,1,
AL,4/1/2021,1/1/2021,,1,
AL,5/1/2021,1/1/2021,,1,
AL,6/1/2021,1/1/2021,,1,
AL,7/1/2021,1/1/2021,,1,
AL,8/1/2021,1/1/2021,,1,
AL,9/1/2021,1/1/2021,,1,
AL,10/1/2021,1/1/2021,,1,
AL,11/1/2021,1/1/2021,,1,
AL,12/1/2021,1/1/2021,,1,
AL,1/1/2022,1/1/2021,,1,
AL,2/1/2022,1/1/2021,,1,
AL,3/1/2022,1/1/2021,,1,
AL,4/1/2022,1/1/2021,,1,
AL,5/1/2022,1/1/2021,,1,
AL,6/1/2022,1/1/2021,,1,
AL,7/1/2022,1/1/2021,,1,
AL,8/1/2022,1/1/2021,,1,
AL,9/1/2022,1/1/2021,,1,
AL,10/1/2022,1/1/2021,,1,
AL,11/1/2022,1/1/2021,,1,
AL,12/1/2022,1/1/2021,,1,
AR,1/1/1900,1/1/2021,,1,
AR,1/1/2010,1/1/2021,,1,
AR,2/1/2010,1/1/2021,,1,
AR,3/1/2010,1/1/2021,,1,
AR,4/1/2010,1/1/2021,,1,
AR,5/1/2010,1/1/2021,,1,
AR,6/1/2010,1/1/2021,,1,
AR,7/1/2010,1/1/2021,,1,
AR,8/1/2010,1/1/2021,,1,
AR,9/1/2010,1/1/2021,,1,
AR,10/1/2010,1/1/2021,,1,
AR,11/1/2010,1/1/2021,,1,
AR,12/1/2010,1/1/2021,,1,
AR,1/1/2011,1/1/2021,,1,
AR,2/1/2011,1/1/2021,,1,
AR,3/1/2011,1/1/2021,,1,
AR,4/1/2011,1/1/2021,,1,
AR,5/1/2011,1/1/2021,,1,
AR,6/1/2011,1/1/2021,,1,
AR,7/1/2011,1/1/2021,,1,
AR,8/1/2011,1/1/2021,,1,
AR,9/1/2011,1/1/2021,,1,
AR,10/1/2011,1/1/2021,,1,
AR,11/1/2011,1/1/2021,,1,
AR,12/1/2011,1/1/2021,,1,
AR,1/1/2012,1/1/2021,,1,
AR,2/1/2012,1/1/2021,,1,
AR,3/1/2012,1/1/2021,,1,
AR,4/1/2012,1/1/2021,,1,
AR,5/1/2012,1/1/2021,,1,
AR,6/1/2012,1/1/2021,,1,
AR,7/1/2012,1/1/2021,,1,
AR,8/1/2012,1/1/2021,,1,
AR,9/1/2012,1/1/2021,,1,
AR,10/1/2012,1/1/2021,,1,
AR,11/1/2012,1/1/2021,,1,
AR,12/1/2012,1/1/2021,,1,
AR,1/1/2013,1/1/2021,,1,
AR,2/1/2013,1/1/2021,,1,
AR,3/1/2013,1/1/2021,,1,
AR,4/1/2013,1/1/2021,,1,
AR,5/1/2013,1/1/2021,,1,
AR,6/1/2013,1/1/2021,,1,
AR,7/1/2013,1/1/2021,,1,
AR,8/1/2013,1/1/2021,,1,
AR,9/1/2013,1/1/2021,,1,
AR,10/1/2013,1/1/2021,,1,
AR,11/1/2013,1/1/2021,,1,
AR,12/1/2013,1/1/2021,,1,
AR,1/1/2014,1/1/2021,,1,
AR,2/1/2014,1/1/2021,,1,
AR,3/1/2014,1/1/2021,,1,
AR,4/1/2014,1/1/2021,,1,
AR,5/1/2014,1/1/2021,,1,
AR,6/1/2014,1/1/2021,,1,
AR,7/1/2014,1/1/2021,,1,
AR,8/1/2014,1/1/2021,,1,
AR,9/1/2014,1/1/2021,,1,
AR,10/1/2014,1/1/2021,,1,
AR,11/1/2014,1/1/2021,,1,
AR,12/1/2014,1/1/2021,,1,
AR,1/1/2015,1/1/2021,,1,
AR,2/1/2015,1/1/2021,,1,
AR,3/1/2015,1/1/2021,,1,
AR,4/1/2015,1/1/2021,,1,
AR,5/1/2015,1/1/2021,,1,
AR,6/1/2015,1/1/2021,,1,
AR,7/1/2015,1/1/2021,,1,
AR,8/1/2015,1/1/2021,,1,
AR,9/1/2015,1/1/2021,,1,
AR,10/1/2015,1/1/2021,,1,
AR,11/1/2015,1/1/2021,,1,
AR,12/1/2015,1/1/2021,,1,
AR,1/1/2016,1/1/2021,,1,
AR,2/1/2016,1/1/2021,,1,
AR,3/1/2016,1/1/2021,,1,
AR,4/1/2016,1/1/2021,,1,
AR,5/1/2016,1/1/2021,,1,
AR,6/1/2016,1/1/2021,,1,
AR,7/1/2016,1/1/2021,,1,
AR,8/1/2016,1/1/2021,,1,
AR,9/1/2016,1/1/2021,,1,
AR,10/1/2016,1/1/2021,,1,
AR,11/1/2016,1/1/2021,,1,
AR,12/1/2016,1/1/2021,,1,
AR,1/1/2017,1/1/2021,,1,
AR,2/1/2017,1/1/2021,,1,
AR,3/1/2017,1/1/2021,,1,
AR,4/1/2017,1/1/2021,,1,
AR,5/1/2017,1/1/2021,,1,
AR,6/1/2017,1/1/2021,,1,
AR,7/1/2017,1/1/2021,,1,
AR,8/1/2017,1/1/2021,,1,
AR,9/1/2017,1/1/2021,,1,
AR,10/1/2017,1/1/2021,,1,
AR,11/1/2017,1/1/2021,,1,
AR,12/1/2017,1/1/2021,,1,
AR,1/1/2018,1/1/2021,,1,
AR,2/1/2018,1/1/2021,,1,
AR,3/1/2018,1/1/2021,,1,
AR,4/1/2018,1/1/2021,,1,
AR,5/1/2018,1/1/2021,,1,
AR,6/1/2018,1/1/2021,,1,
AR,7/1/2018,1/1/2021,,1,
AR,8/1/2018,1/1/2021,,1,
AR,9/1/2018,1/1/2021,,1,
AR,10/1/2018,1/1/2021,,1,
AR,11/1/2018,1/1/2021,,1,
AR,12/1/2018,1/1/2021,,1,
AR,1/1/2019,1/1/2021,,1,
AR,2/1/2019,1/1/2021,,1,
AR,3/1/2019,1/1/2021,,1,
AR,4/1/2019,1/1/2021,,1,
AR,5/1/2019,1/1/2021,,1,
AR,6/1/2019,1/1/2021,,1,
AR,7/1/2019,1/1/2021,,1,
AR,8/1/2019,1/1/2021,,1,
AR,9/1/2019,1/1/2021,,1,
AR,10/1/2019,1/1/2021,,1,
AR,11/1/2019,1/1/2021,,1,
AR,12/1/2019,1/1/2021,,1,
AR,1/1/2020,1/1/2021,,1,
AR,2/1/2020,1/1/2021,,1,
AR,3/1/2020,1/1/2021,,1,
AR,4/1/2020,1/1/2021,,1,
AR,5/1/2020,1/1/2021,,1,
AR,6/1/2020,1/1/2021,,1,
AR,7/1/2020,1/1/2021,,1,
AR,8/1/2020,1/1/2021,,1,
AR,9/1/2020,1/1/2021,,1,
AR,10/1/2020,1/1/2021,,1,
AR,11/1/2020,1/1/2021,,1,
AR,12/1/2020,1/1/2021,,1,
AR,1/1/2021,1/1/2021,,1,
AR,2/1/2021,1/1/2021,,1,
AR,3/1/2021,1/1/2021,,1,
AR,4/1/2021,1/1/2021,,1,
AR,5/1/2021,1/1/2021,,1,
AR,6/1/2021,1/1/2021,,1,
AR,7/1/2021,1/1/2021,,1,
AR,8/1/2021,1/1/2021,,1,
AR,9/1/2021,1/1/2021,,1,
AR,10/1/2021,1/1/2021,,1,
AR,11/1/2021,1/1/2021,,1,
AR,12/1/2021,1/1/2021,,1,
AR,1/1/2022,1/1/2021,,1,
AR,2/1/2022,1/1/2021,,1,
AR,3/1/2022,1/1/2021,,1,
AR,4/1/2022,1/1/2021,,1,
AR,5/1/2022,1/1/2021,,1,
AR,6/1/2022,1/1/2021,,1,
AR,7/1/2022,1/1/2021,,1,
AR,8/1/2022,1/1/2021,,1,
AR,9/1/2022,1/1/2021,,1,
AR,10/1/2022,1/1/2021,,1,
AR,11/1/2022,1/1/2021,,1,
AR,12/1/2022,1/1/2021,,1,
AZ,1/1/1900,1/1/2021,,1.138229424,202009b
AZ,1/1/2010,1/1/2021,,1.138229424,202009b
AZ,2/1/2010,1/1/2021,,1.135121942,202009b
AZ,3/1/2010,1/1/2021,,1.132003171,202009b
AZ,4/1/2010,1/1/2021,,1.129409367,202009b
AZ,5/1/2010,1/1/2021,,1.127341143,202009b
AZ,6/1/2010,1/1/2021,,1.12526369,202009b
AZ,7/1/2010,1/1/2021,,1.123301069,202009b
AZ,8/1/2010,1/1/2021,,1.121454293,202009b
AZ,9/1/2010,1/1/2021,,1.119601416,202009b
AZ,10/1/2010,1/1/2021,,1.117743084,202009b
AZ,11/1/2010,1/1/2021,,1.115879738,202009b
AZ,12/1/2010,1/1/2021,,1.114012043,202009b
AZ,1/1/2011,1/1/2021,,1.112169802,202009b
AZ,2/1/2011,1/1/2021,,1.110429192,202009b
AZ,3/1/2011,1/1/2021,,1.108837425,202009b
AZ,4/1/2011,1/1/2021,,1.107411287,202009b
AZ,5/1/2011,1/1/2021,,1.10615159,202009b
AZ,6/1/2011,1/1/2021,,1.105041098,202009b
AZ,7/1/2011,1/1/2021,,1.104180847,202009b
AZ,8/1/2011,1/1/2021,,1.103575339,202009b
AZ,9/1/2011,1/1/2021,,1.103120904,202009b
AZ,10/1/2011,1/1/2021,,1.102818815,202009b
AZ,11/1/2011,1/1/2021,,1.102673685,202009b
AZ,12/1/2011,1/1/2021,,1.102686824,202009b
AZ,1/1/2012,1/1/2021,,1.102799934,202009b
AZ,2/1/2012,1/1/2021,,1.102865862,202009b
AZ,3/1/2012,1/1/2021,,1.102797942,202009b
AZ,4/1/2012,1/1/2021,,1.102533159,202009b
AZ,5/1/2012,1/1/2021,,1.102070059,202009b
AZ,6/1/2012,1/1/2021,,1.101470346,202009b
AZ,7/1/2012,1/1/2021,,1.100819981,202009b
