State,AssessmentFeeId,Rate,EffectiveDate,ExpirationDate
CA,,0,2021-03-01,2022-03-01
CA,,0.004734,2021-03-01,2022-03-01
CA,,0.002584,2021-03-01,2022-03-01
CA,,0.002272,2021-03-01,2022-03-01
CA,,0.006579,2021-03-01,2022-03-01
CA,,0.000775,2021-03-01,2022-03-01
CA,,0.022646,2021-03-01,2022-03-01
FL,,0,2021-03-01,2022-03-01
IL,,0.0101,2021-03-01,2022-03-01
PA,,0.0202,2021-03-01,2022-03-01
IN,,0.0097,2021-03-01,2022-03-01
NJ,,0.0522,2021-03-01,2022-03-01
NJ,,0,2021-03-01,2022-03-01
KY,,0.0702,2021-03-01,2022-03-01
MN,,0.036,2021-03-01,2022-03-01
MO,,0.05,2021-03-01,2022-03-01
